numero_natinf;libelle_natinf;domaine_snc;theme_snc;action_snc
27738;INFRACTION A DES DISPOSITIONS REGLEMENTAIRES PRISES POUR FAVORISER LA PROTECTION DU GIBIER ET LE REPEUPLEMENT AU SEIN DES RESERVES DE CHASSE ET DE FAUNES SAUVAGES;Assurer la protection des espèces animales et végétales;Chasse;Autres aires protégées (SNC 5.1)
13184;INFRACTION A UN ARRETE REGLEMENTAIRE RELATIF A L'EMPLOI DES CHIENS DANS L'EXERCICE DE LA CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Sécurité à la chasse (SNC 4.5)
5986;INFRACTION A UN ARRETE REGLEMENTAIRE RELATIF A LA CHASSE EN TEMPS DE NEIGE;Assurer la protection des espèces animales et végétales;Chasse;Contrôle du respect des quotas collectifs et des obligations de déclaration de prélèvement de certaines espèces (SNC 4.5)
27737;INFRACTION A UN ARRETE REGLEMENTAIRE RELATIF AUX CONDITIONS DE REALISATION DES ENTRAINEMENTS, CONCOURS ET EPREUVES DE CHIEN DE CHASSE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
23228;INFRACTION A UN ARRETE REGLEMENTANT LES TERRAINS DU DOMAINE ADMINISTRE PAR LE CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Terrains conservatoire du littoral (SNC 5.1)
10215;INTRODUCTION IRREGULIERE D'ANIMAL DANS UNE RESERVE NATURELLE;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Réglementation réserves naturelles (SNC 5.1)
6565;INTRODUCTION NON AUTORISEE D'ANIMAUX AU COEUR D'UN PARC NATIONAL;Espaces protégés et protection des milieux et du cadre de vie;Contrôles aires protégées (SNC 5.1);Parcs nationaux (SNC 5.1)
27744;LACHER DE GIBIER EN INFRACTION AUX PRESCRIPTIONS DU SCHEMA DEPARTEMENTAL DE GESTION CYNEGETIQUE;Assurer la protection des espèces animales et végétales;Chasse;Actions contrôles chasse hors priorités SNC
25988;MAINTIEN EN CAPTIVITE, LA NUIT, DE CARPE CAPTUREE PAR UN PECHEUR AMATEUR AUX LIGNES;Assurer la protection des espèces animales et végétales;Pêche;Actions de contrôle de la pêche (hors SNC)
26297;NON COMMUNICATION A LA FEDERATION DES CHASSEURS DU NOMBRE D'ANIMAUX PRELEVE EN APPLICATION D'UN PLAN DE CHASSE INDIVIDUEL;Assurer la protection des espèces animales et végétales;Chasse;Contrôle du respect des quotas collectifs et des obligations de déclaration de prélèvement de certaines espèces (SNC 4.5)
