Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
33188;Contravention de classe 3;NAVIGATION RHENANE A UNE VITESSE EXCESSIVE CREANT DES REMOUS OU UN EFFET DE SUCCION DE NATURE A ENDOMMAGER DES BATIMENTS OU OUVRAGES;ART.6-20 RPNR. ART.6-20 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33189;Contravention de classe 4;NAVIGATION RHENANE A UNE VITESSE EXCESSIVE D'UN BATIMENT A PASSAGERS CREANT DES REMOUS OU UN EFFET DE SUCCION DE NATURE A ENDOMMAGER DES BATIMENTS OU OUVRAGES;ART.6-20 RPNR. ART.6-20 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33190;Contravention de classe 4;NAVIGATION RHENANE A UNE VITESSE EXCESSIVE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES CREANT DES REMOUS OU UN EFFET DE SUCCION DE NATURE A ENDOMMAGER DES BATIMENTS OU OUVRAGES;ART.6-20 RPNR. ART.6-20 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33191;Contravention de classe 4;NAVIGATION RHENANE A UNE VITESSE EXCESSIVE D'UN BATIMENT NAVIGUANT A PROXIMITE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES CREANT DES REMOUS OU UN EFFET DE SUCCION DOMMAGEABLE;ART.6-20 RPNR. ART.6-20 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33192;Contravention de classe 3;NAVIGATION RHENANE DANS UNE SECTION DE LA VOIE D'EAU OU LA NAVIGATION EST INTERROMPUE;ART.6-22 RPNR. ART.6-22 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33193;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT A PASSAGERS DANS UNE SECTION DE LA VOIE D'EAU OU LA NAVIGATION EST INTERROMPUE;ART.6-22 RPNR. ART.6-22 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33194;Contravention de classe 3;NAVIGATION RHENANE SANS RESPECT DES REGLES DE PASSAGE AUX ECLUSES;ART.6-28, ART.6-28BIS, ART.6-29 RPNR. ART.6-28, ART.6-28BIS, ART.6-29 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33195;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT A PASSAGERS SANS RESPECT DES REGLES DE PASSAGE AUX ECLUSES;ART.6-28, ART.6-28BIS, ART.6-29 RPNR. ART.6-28, ART.6-28BIS, ART.6-29 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33196;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES DANS UNE SECTION DE LA VOIE D'EAU OU LA NAVIGATION EST INTERROMPUE;ART.6-22 RPNR. ART.6-22 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33197;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES SANS RESPECT DES REGLES DE PASSAGE AUX ECLUSES;ART.6-28, ART.6-28BIS, ART.6-29 RPNR. ART.6-28, ART.6-28BIS, ART.6-29 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33198;Contravention de classe 3;NAVIGATION RHENANE D'UN BATIMENT SANS RESPECT DES REGLES DE NAVIGATION PAR TEMPS BOUCHE - UTILISATION DU RADAR;ART.6-30, ART.6-31, ART.6-32 RPNR. ART.6-30, ART.6-31, ART.6-32 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33199;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT A PASSAGERS SANS RESPECT DES REGLES DE NAVIGATION PAR TEMPS BOUCHE - UTILISATION DU RADAR;ART.6-30, ART.6-31, ART.6-32 RPNR. ART.6-30, ART.6-31, ART.6-32 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33200;Contravention de classe 4;NAVIGATION RHENANE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES SANS RESPECT DES REGLES DE NAVIGATION PAR TEMPS BOUCHE - UTILISATION DU RADAR;ART.6-30, ART.6-31, ART.6-32 RPNR. ART.6-30, ART.6-31, ART.6-32 RPNM. ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.;ART.R.4274-35, ART.R.4274-53 C.TRANSPORTS.
33201;Contravention de classe 3;STATIONNEMENT, AMARRAGE OU ANCRAGE IRREGULIER D'UN BATIMENT DE NAVIGATION RHENANE;ART.7-01 §1,§2,§3,§4,ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNR. ART.7-01,ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33202;Contravention de classe 4;STATIONNEMENT, AMARRAGE OU ANCRAGE IRREGULIER D'UN BATIMENT A PASSAGERS DE NAVIGATION RHENANE;ART.7-01 §1,§2,§3,§4,ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNR. ART.7-01,ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33203;Contravention de classe 4;STATIONNEMENT, AMARRAGE OU ANCRAGE IRREGULIER D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES DE NAVIGATION RHENANE;ART.7-01 §1,§2,§3,§4, ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNR. ART.7-01,ART.7-02,ART.7-03,ART.7-04,ART.7-05,ART.7-06 RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33204;Contravention de classe 3;NON RESPECT DES REGLES DE GARDE ET SURVEILLANCE D'UN BATIMENT DE NAVIGATION RHENANE;ART.7-08 RPNR. ART.7-08 RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33205;Contravention de classe 4;NON RESPECT DES REGLES DE GARDE ET SURVEILLANCE D'UN BATEAU A PASSAGERS DE NAVIGATION RHENANE;ART.7-08, ART.8-10 E) RPNR. ART.7-08, ART.8-11 E) RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33206;Contravention de classe 4;NON RESPECT DES REGLES DE GARDE ET SURVEILLANCE D'UN BATIMENT DE TRANSPORT DE MATIERES DANGEREUSES DE NAVIGATION RHENANE;ART.7-08 RPNR. ART.7-08 RPNM. ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.;ART.R.4274-36, ART.R.4274-54 C.TRANSPORTS.
33207;Contravention de classe 3;NAVIGATION RHENANE IRREGULIERE D'UN CONVOI OU D'UNE BARGE;ART.8-01-A-09 RPNR. ART.8-01-A-10 RPNM. ART.R.4274-38, ART.R.4274-56 C.TRANSPORTS.;ART.R.4274-38, ART.R.4274-56 C.TRANSPORTS.
33208;Contravention de classe 3;NAVIGATION RHENANE D'UN BATIMENT AUTORISE AU TRANSPORT DE PLUS DE 12 PASSAGERS SANS RESPECT DES REGLES DE SECURITE A BORD;ART.8-10 RPNR. ART.8-11 RPNM. ART.R.4274-38, ART.R.4274-56 C.TRANSPORTS.;ART.R.4274-38, ART.R.4274-56 C.TRANSPORTS.
33209;Contravention de classe 3;NAVIGATION RHENANE D'UN BATIMENT EQUIPE D'UN RADAR SANS PRESENCE A BORD D'UNE PERSONNE TITULAIRE D'UN CERTIFICAT D'APTITUDE A LA CONDUITE AU RADAR OU D'UN DOCUMENT EQUIVALENT;ART.4-06 §1 B), §2 RPNR. ART.4-06 §1 B), §2 RPNM. ANX.D4, D6 RPN. ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.;ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.
33210;Contravention de classe 3;UTILISATION D'UN RADAR NON CONFORME PAR UN BATIMENT NAVIGUANT SUR UNE VOIE D'EAU - NAVIGATION RHENANE;ART.4-06 §1 RPNR. ART.4-06 §1 A), §2 RPNM. ART.7-06 §1 ES-TRIN. ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.;ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.
33211;Contravention de classe 3;NAVIGATION SUR LE RHIN D'UN BATEAU RAPIDE SANS UTILISATION DE SON RADAR;ART.4-06 §3 RPNR. ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.;ART.R.4274-33, ART.R.4274-51 C.TRANSPORTS.
33212;Délit;DEGRADATION OU DETERIORATION DU BIEN D'AUTRUI AGGRAVEE PAR DEUX CIRCONSTANCES LORS DE MANIFESTATION SUR LA VOIE PUBLIQUE;ART.322-3, ART.322-1 §I C.PENAL.;ART.322-3 AL.14, ART.322-15, ART.131-30 AL.1, ART.131-32-1 C.PENAL.
33213;Crime;TERRORISME : ACQUISITION, DETENTION NON AUTORISEE EN REUNION DE MATERIEL DE GUERRE, ARME, MUNITION OU DE LEURS ELEMENTS DE CATEGORIE A;ART.421-1 4°, ART.222-52 AL.3,AL.1 C.PENAL. ART.L.312-1, ART.L.312-2, ART.L.312-3, ART.L.312-4, ART.L.311-2 AL.1 1°, ART.R.312-21, ART.R.312-13, ART.R.311-2 §I C.S.I.;ART.421-3 AL.1 4°, ART.222-52 AL.3, ART.421-7,421-8, ART.422-3,ART.422-4,422-6,ART.222-62,ART.222-63,ART.222-65, ART.222-66,ART.131-26-2 C.PENAL.
33214;Crime;TERRORISME : CESSION EN REUNION DE MATERIEL DE GUERRE, ARME, MUNITION OU DE LEURS ELEMENTS DE CATEGORIE A A UNE PERSONNE NON TITULAIRE DE L'AUTORISATION DE DETENTION;ART.421-1 4°, ART.222-52 AL.3,AL.1 C.PENAL. ART.L.314-2 AL.1, ART.L.314-3, ART.L.311-2 AL.1 1°, ART.R.311-2 §I C.S.I.;ART.421-3 AL.1 4°, ART.222-52 AL.3, ART.421-7,ART.421-8, ART.422-3,ART.422-4,ART.422-6, ART.222-62,ART.222-63,222-65,222-66,ART.131-26-2 C.PENAL.
33215;Crime;TERRORISME : ACQUISITION, DETENTION NON AUTORISEE EN REUNION D'ARME, MUNITION OU DE LEURS ELEMENTS DE CATEGORIE B;ART.421-1 4°, ART.222-52 AL.3,AL.1 C.PENAL. ART.L.312-1, ART.L.312-3, ART.L.312-4, ART.L.311-2 AL.1 2°, ART.R.312-21, ART.R.312-13, ART.R.311-2 §II C.S.I.;ART.421-3 AL.1 4°, ART.222-52 AL.3, ART.421-7,ART.421-8, ART.422-3,ART.422-4,ART.422-6,ART.222-62, ART.222-63, 222-65,222-66,ART.131-26-2 C.PENAL.
33216;Crime;TERRORISME : CESSION EN REUNION D'ARME, MUNITION OU DE LEURS ELEMENTS DE CATEGORIE B A UNE PERSONNE NON TITULAIRE DE L'AUTORISATION DE DETENTION;ART.421-1 4°, ART.222-52 AL.3,AL.1 C.PENAL. ART.L.314-2, ART.L.314-3, ART.L.311-2 AL.1 2°, ART.R.312-21, ART.R.312-13, ART.R.311-2 §II C.S.I.;ART.421-3 AL.1 4°, ART.222-52 AL.3, ART.421-7, ART.421-8, ART.422-3,ART.422-4,ART.422-6,ART.222-62, ART.222-63,222-65,222-66,ART.131-26-2 C.PENAL.
33217;Délit;EMPLOI DE TRAVAILLEUR EN MILIEU HYPERBARE SANS RESPECT DES REGLES DE PREVENTION;ART.L.4741-1 AL.1 4°, ART.L.4111-6 3°, ART.R.4461-6, R.4461-7, R.4461-8, R.4461-9, R.4461-10, R.4461-14, R.4461-15, R.4461-16, R.4461-17, R.4461-18, R.4461-19, R.4461-21, R.4461-22, R.4461-23, R.4461-25, R.4461-26,R.4461-1 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33218;Délit;EMPLOI DE TRAVAILLEUR EN MILIEU HYPERBARE SANS EVALUATION DES RISQUES CONFORME;ART.L.4741-1 AL.1 4°, ART.L.4111-6 3°, ART.R.4461-2, ART.R.4461-3, ART.R.4461-4, ART.R.4461-5, ART.R.4461-1 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33219;Délit;EMPLOI DE TRAVAILLEUR EN MILIEU HYPERBARE SANS FORMATION ET INFORMATION CONFORME;ART.L.4741-1 AL.1 4°, ART.L.4111-6 3°, ART.R.4461-27, ART.R.4461-28, ART.R.4461-29, ART.R.4461-30, ART.R.4461-1 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33220;Délit;EMPLOI DE TRAVAILLEUR EN MILIEU HYPERBARE SANS ORGANISATION CONFORME DES INTERVENTIONS ET TRAVAUX;ART.L.4741-1 AL.1 4°, ART.L.4111-6 3°, ART.R.4461-37, R.4461-38, R.4461-39, R.4461-40, R.4461-41, R.4461-42, R.4461-43, R.4461-45, R.4461-46, R.4461-47, R.4461-49, ART.R.4461-1 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33221;Délit;EMPLOI DE TRAVAILLEUR A UNE ACTIVITE PYROTECHNIQUE SANS ETUDE DE SECURITE CONFORME;ART.L.4741-1 AL.1 4°, ART.L.4111-6, ART.R.4462-3, ART.R.4462-4, ART.R.4462-5, ART.R.4462-30, ART.R.4462-34, ART.R.4462-35, ART.R.4462-1, ART.R.4462-2 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33222;Délit;EMPLOI DE TRAVAILLEUR A UNE ACTIVITE PYROTECHNIQUE SANS RESPECT DES MESURES GENERALES DE SECURITE;ART.L.4741-1 AL.1 4°, ART.L.4111-6, ART.R.4462-6, ART.R.4462-7, ART.R.4462-8, ART.R.4462-9, ART.R.4462-14, ART.R.4462-15, ART.R.4462-1, ART.R.4462-2 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33223;Délit;EMPLOI DE TRAVAILLEUR A UNE ACTIVITE PYROTECHNIQUE SANS RESPECT DES REGLES DE SECURITE RELATIVES AUX INSTALLATIONS;ART.L.4741-1 AL.1 4°, ART.L.4111-6, ART.R.4462-10, R.4462-11, R.4462-12, R.4462-13, R.4462-16, R.4462-17, R.4462-18, R.4462-19, R.4462-20, R.4462-21, R.4462-22, R.4462-23, R.4462-24, ART.R.4462-1, ART.R.4462-2 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33224;Délit;EMPLOI DE TRAVAILLEUR A UNE ACTIVITE PYROTECHNIQUE SANS FORMATION CONFORME;ART.L.4741-1 AL.1 4°, ART.L.4111-6, ART.R.4462-27, ART.R.4462-28, ART.R.4462-1, ART.R.4462-2 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33225;Délit;EMPLOI DE TRAVAILLEUR A UNE ACTIVITE PYROTECHNIQUE SANS SIGNALEMENT AUX AUTORITES COMPETENTES D'UN EVENEMENT PYROTECHNIQUE SURVENANT DANS LE CADRE DE SES ACTIVITES;ART.L.4741-1 AL.1 4°, ART.L.4111-6, ART.R.4462-31, ART.R.4462-1, ART.R.4462-2 C.TRAVAIL.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33226;Délit douanier de classe 1;DETENTION EN BANDE ORGANISEE DE MARCHANDISE CONTREFAISANTE (DESSIN OU MODELE) SANS DOCUMENT JUSTIFICATIF REGULIER : FAIT REPUTE IMPORTATION EN CONTREBANDE;ART.419 §1, ART.215, ART.215-BIS, ART.38 §4 C.DOUANES. ART.1 §4 ARR.MINIST DU 11/12/2001. ART.L.513-4 C.PROPR.INT. ART.132-71 C.PENAL.;ART.419 §2,§3, ART.414 AL.3,AL.1, ART.435, ART.436, ART.438, ART.432-BIS, ART.369 C.DOUANES. ART.131-30 AL.1 C.PENAL.
33227;Contravention de classe 4;PARTICIPATION A UNE MANIFESTATION INTERDITE SUR LA VOIE PUBLIQUE;ART.R.644-4 C.PENAL. ART.L.211-4, ART.R.211-26-1 C.S.I.;ART.R.644-4 C.PENAL.
33228;Délit;BLANCHIMENT : CONCOURS A UNE OPERATION DE PLACEMENT, DISSIMULATION OU CONVERSION DU PRODUIT D'UNE ESCROQUERIE AGGRAVEE;ART.324-1 AL.2, ART.313-2, ART.313-1 AL.1 C.PENAL.;ART.324-1 AL.3, ART.324-3, ART.324-4, ART.324-7, ART.313-2 AL.1, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
33229;Délit;BLANCHIMENT : CONCOURS A UNE OPERATION DE PLACEMENT, DISSIMULATION OU CONVERSION DU PRODUIT D'UN DELIT DE PROXENETISME AGGRAVE;ART.324-1 AL.2, ART.225-7, ART.225-5 C.PENAL.;ART.324-1 AL.3, ART.324-3, ART.324-4, ART.324-7, ART.225-7 AL.1, ART.131-30 AL.1 C.PENAL.
33230;Délit;BLANCHIMENT : CONCOURS A UNE OPERATION DE PLACEMENT, DISSIMULATION OU CONVERSION DU PRODUIT D'UN DELIT DE TRAITE D'ETRE HUMAIN AGGRAVEE;ART.324-1 AL.2, ART.225-4-2, ART.225-4-1 C.PENAL.;ART.324-1 AL.3, ART.324-3, ART.324-4, ART.324-7, ART.225-4-2 AL.1, ART.131-30 AL.1 C.PENAL.
33231;Délit;VIOLATION D'UNE MESURE DE PROTECTION EN MATIERE CIVILE ORDONNEE DANS UN ETAT MEMBRE DE L'UNION EUROPEENNE;ART.227-4-2 AL.2 C.PENAL. ART.2, ART.3, ART.4 REGLT.UE DU 12/06/2013.;ART.227-4-2 AL.2,AL.1, ART.227-29, ART.131-30 AL.1 C.PENAL.
33232;Délit;MISE A DISPOSITION DE TRAVAILLEUR DANS UNE MINE, CARRIERE OU SA DEPENDANCE D'EQUIPEMENT DE TRAVAIL MOBILE SANS DOSSIER CONFORME CONTENANT LES PRESCRIPTIONS RELATIVES A SON UTILISATION;ART.L.4741-1 AL.1 3°, ART.L.4321-1, ART.L.4111-4, ART.R.4323-1 C.TRAVAIL. ART.2, ART.1 DECRET 2018-1022 DU 22/11/2018.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33233;Délit;EMPLOI DE TRAVAILLEUR DANS UNE MINE, CARRIERE OU SA DEPENDANCE SANS RESPECT DES REGLES DE SECURITE RELATIVES A L'UTILISATION OU LA CIRCULATION DES EQUIPEMENTS DE TRAVAIL MOBILES;ART.L.4741-1 AL.1 3°, ART.L.4321-1, ART.L.4111-4, ART.R.4323-50, ART.R.4323-51 C.TRAVAIL. ART.3, ART.4, ART.5, ART.1 DECRET 2018-1022 DU 22/11/2018. ART.5 DECRET 2021-902 DU 06/07/2021.;ART.L.4741-1 AL.1, AL.9, ART.L.4741-5 AL.1 C.TRAVAIL.
33234;Délit;DISSIMULATION VOLONTAIRE DU VISAGE, SANS MOTIF LEGITIME, LORS D'UNE MANIFESTATION SUR LA VOIE PUBLIQUE ACCOMPAGNEE DE TROUBLES OU RISQUES MANIFESTES DE TROUBLES A L'ORDRE PUBLIC;ART.431-9-1 C.PENAL.;ART.431-9-1, ART.431-11 C.PENAL.
33235;Délit;TRANSPORT EN GUYANE DE BOIS DONT L'ORIGINE ET LA PROPRIETE NE PEUVENT ETRE ATTESTEES;ART.L.172-7 C.FORESTIER.;ART.L.172-7 C.FORESTIER.
33238;Contravention de classe 4;EMPLOI D'APPRENTI SANS PRENDRE EN COMPTE DANS LE TEMPS DE TRAVAIL EFFECTIF LE TEMPS CONSACRE A LA FORMATION DANS LE CENTRE DE FORMATION;ART.R.6227-1, ART.L.6222-24 AL.1 C.TRAVAIL.;ART.R.6227-1 C.TRAVAIL.
33239;Contravention de classe 4;EMPLOI D'APPRENTI A UN TRAVAIL SANS RELATION DIRECTE AVEC LA FORMATION PROFESSIONNELLE PREVUE AU CONTRAT;ART.R.6227-1, ART.L.6222-24 AL.2 C.TRAVAIL.;ART.R.6227-1 C.TRAVAIL.
33240;Contravention de classe 4;EMPLOI D'UN APPRENTI AVEC PARTAGE DE LA FONCTION TUTORALE SANS DESIGNATION CONFORME D'UN MAITRE D'APPRENTISSAGE REFERENT ASSURANT LA COORDINATION ET LA LIAISON AVEC LE CENTRE DE FORMATION;ART.R.6227-1, ART.R.6223-23, ART.L.6223-5, ART.L.6223-6 C.TRAVAIL.;ART.R.6227-1 C.TRAVAIL.
33241;Contravention de classe 4;EMPLOI D'APPRENTI PAR UN MAITRE D'APPRENTISSAGE NE DISPOSANT PAS DE LA COMPETENCE PROFESSIONNELLE REQUISE;ART.R.6227-1, ART.R.6223-22, ART.L.6223-8-1 C.TRAVAIL.;ART.R.6227-1 C.TRAVAIL.
33242;Délit;IMPORTATION EN VUE DE LA VENTE DE PRODUIT DU TABAC DANS UN CONDITIONNEMENT NON REVETU DE L'IDENTIFIANT UNIQUE CONFORME;ART.L.3515-4 3°, ART.L.3512-23 §I, ART.R.3512-32 C.SANTE.PUB. ART.8, ART.11 REGLT.EX.UE DU 15/12/2017.;ART.L.3515-4 AL.1 C.SANTE.PUB.
33243;Délit;DISTRIBUTION OU OFFRE DE PRODUIT DU TABAC DANS UN CONDITIONNEMENT NON REVETU DE L'IDENTIFIANT UNIQUE CONFORME;ART.L.3515-4 3°, ART.L.3512-23 §I, ART.R.3512-32 C.SANTE.PUB. ART.8, ART.11 REGLT.EX.UE DU 15/12/2017.;ART.L.3515-4 AL.1 C.SANTE.PUB.
33244;Délit;IMPORTATION EN VUE DE LA VENTE DE PRODUIT DU TABAC DANS UNE UNITE DE CONDITIONNEMENT DEPOURVU DE DISPOSITIF DE SECURITE INFALSIFIABLE CONFORME;ART.L.3515-4 4°, ART.L.3512-25 C.SANTE.PUB. ART.1 ARR.MINIST DU 24/12/2018.;ART.L.3515-4 AL.1 C.SANTE.PUB.
33245;Délit;DISTRIBUTION OU OFFRE DE PRODUIT DU TABAC DANS UNE UNITE DE CONDITIONNEMENT DEPOURVU DE DISPOSITIF DE SECURITE INFALSIFIABLE CONFORME;ART.L.3515-4 4°, ART.L.3512-25 C.SANTE.PUB. ART.1 ARR.MINIST DU 24/12/2018.;ART.L.3515-4 AL.1 C.SANTE.PUB.
33246;Délit;MODIFICATION OU ALTERATION DES INFORMATIONS CONTENUES DANS L'ENTREPOT DE STOCKAGE DES DONNEES DE TRACABILITE DES PRODUITS DU TABAC;ART.L.3515-4 5°, ART.L.3512-24, ART.L.3512-23 §VI C.SANTE.PUB. ART.32, ART.33 REGLT.EX.UE DU 15/12/2017.;ART.L.3515-4 AL.1 C.SANTE.PUB.
33248;Délit;DEPASSEMENT DE LA DUREE MAXIMALE AUTORISEE POUR UNE MISSION DANS LE CADRE D'UN CONTRAT DE TRAVAIL A DUREE INDETERMINEE INTERIMAIRE;ART.L.1255-7 AL.1, ART.L.1251-58-6, ART.L.1251-58-4, ART.L.1251-58-5, ART.L.1251-30, ART.L.1251-12 C.TRAVAIL.;ART.L.1255-7 AL.1, ART.L.1255-12 C.TRAVAIL.
33249;Délit;NON RESPECT PAR ENTREPRISE UTILISATRICE DES DISPOSITIONS RELATIVES AU NOMBRE MAXIMAL DE RENOUVELLEMENTS POSSIBLES POUR UNE LETTRE DE MISSION - CONTRAT DE TRAVAIL A DUREE INDETERMINEE INTERIMAIRE;ART.L.1255-8 AL.1, ART.L.1251-58-4, ART.L.1251-35, ART.L.1251-58-1 C.TRAVAIL.;ART.L.1255-8 AL.1, ART.L.1255-12 C.TRAVAIL.
33250;Contravention de classe 3;CONCLUSION D'UNE LETTRE DE MISSION SANS LES MENTIONS OBLIGATOIRES - CONTRAT DE TRAVAIL A DUREE INDETERMINEE INTERIMAIRE;ART.R.1255-1, ART.L.1251-16 2°,4°,5°, ART.L.1251-58-5, ART.L.1251-58-1 C.TRAVAIL.;ART.R.1255-1 C.TRAVAIL.
33251;Contravention de classe 5;UTILISATION DE PRODUIT ET SUBSTANCE NON AUTORISE POUR LA PRODUCTION DE DENREE ALIMENTAIRE BIOLOGIQUE TRANSFORMEE;ART.R.412-33-1 5° C.CONSOMMAT. ART.6, ART.7, ART.8, ANX.V REGLT.EX.UE DU 15/07/2021. ART.24 §2 REGLT.UE DU 30/05/2018.;ART.R.451-1 AL.1 C.CONSOMMAT.
33252;Contravention de classe 3;PECHE DANS LES EAUX DE 1ERE CATEGORIE D'UN NOMBRE DE BROCHETS SUPERIEUR A CELUI AUTORISE;ART.R.436-40 §I 5°,7°,ART.R.436-21 AL.2, AL.4, ART.L.436-5 10° C.ENVIR.;ART.R.436-40 §I, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
33253;Contravention de classe 3;TRANSPORT D'UN NOMBRE DE BROCHETS PECHES DANS LES EAUX DE 1ERE CATEGORIE SUPERIEUR A CELUI AUTORISE;ART.R.436-40 §I 5°, 7°, ART.R.436-21 AL.2, AL.4, ART.L.436-5 10° C.ENVIR.;ART.R.436-40 §I, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
33254;Contravention de classe 4;NON DELIVRANCE PAR UN CENTRE AGREE VHU POUR LA REPRISE DE VEHICULE HORS D'USAGE D'UN CERTIFICAT DE DESTRUCTION AU PROPRIETAIRE DU VEHICULE AU MOMENT DU TRANSFERT;ART.R.322-9 §II, §I C.ROUTE. ART.16 ARR.MINIST DU 09/02/2009.;ART.R.322-9 §VI C.ROUTE.
33255;Contravention de classe 4;NON AFFICHAGE CONFORME DE L'AVIS MENTIONNANT LA OU LES CONVENTIONS OU ACCORDS COLLECTIFS APPLICABLES AUX GENS DE MER;ART.6, ART.2 DECRET 2015-918 DU 27/07/2015.;ART.6 DECRET 2015-918 DU 27/07/2015. ART.R.2263-1 C.TRAVAIL.
33256;Contravention de classe 4;NON DECLARATION DANS LE MOIS PAR LE LOCATAIRE D'UN VEHICULE FAISANT L'OBJET D'UN CREDIT-BAIL OU D'UNE LOCATION DE DEUX ANS OU PLUS D'UN CHANGEMENT DE DOMICILE OU D'ETABLISSEMENT D'AFFECTATION AU PROPRIETAIRE;ART.R.322-7 §II, §I C.ROUTE. ART.15 ARR.MINIST DU 09/02/2009.;ART.R.322-7 §VIII C.ROUTE.
