Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
25389;Contravention de classe 4;REDEVABLE DE L'AMENDE ENCOURUE POUR EXCES DE VITESSE INFERIEUR A 20 KM/H - VITESSE MAXIMALE AUTORISEE INFERIEURE OU EGALE A 50 KM/H;ART.L.121-3, ART.R.121-6 8°, ART.R.130-11 8° C.ROUTE.;ART.R.413-14 §I AL.1 C.ROUTE.
25390;Contravention de classe 3;REDEVABLE DE L'AMENDE ENCOURUE POUR EXCES DE VITESSE INFERIEUR A 20 KM/H - VITESSE MAXIMALE AUTORISEE SUPERIEURE A 50 KM/H;ART.L.121-3, ART.R.121-6 8°, ART.R.130-11 8° C.ROUTE.;ART.R.413-14 §I AL.2 C.ROUTE.
25391;Contravention de classe 4;EXCES DE VITESSE D'AU MOINS 20 KM/H ET INFERIEUR A 30 KM/H PAR ELEVE CONDUCTEUR TITULAIRE DE LIVRET D'APPRENTISSAGE;ART.R.413-14 §I AL.1, ART.R.413-3, ART.R.413-5 §I C.ROUTE.;ART.R.413-14 §I AL.1 C.ROUTE.
25392;Contravention de classe 4;EXCES DE VITESSE INFERIEUR A 20 KM/H PAR ELEVE CONDUCTEUR TITULAIRE DE LIVRET D'APPRENTISSAGE - VITESSE MAXIMALE AUTORISEE INFERIEURE OU EGALE A 50 KM/H;ART.R.413-14 §I AL.1, ART.R.413-3, ART.R.413-5 §I C.ROUTE.;ART.R.413-14 §I AL.1 C.ROUTE.
25393;Contravention de classe 3;EXCES DE VITESSE INFERIEUR A 20 KM/H PAR ELEVE CONDUCTEUR TITULAIRE DE LIVRET D'APPRENTISSAGE - VITESSE MAXIMALE AUTORISEE SUPERIEURE A 50 KM/H;ART.R.413-14 §I, ART.R.413-3, ART.R.413-5 §I C.ROUTE.;ART.R.413-14 §I AL.2 C.ROUTE.
25405;Délit;BLESSURES INVOLONTAIRES PAR PERSONNE MORALE AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR LA VIOLATION MANIFESTEMENT DELIBEREE D'UNE OBLIGATION DE SECURITE OU DE PRUDENCE DANS LE CADRE DU TRAVAIL;ART.222-21 AL.1, ART.121-2, ART.222-20 C.PENAL.;ART.222-21, ART.222-20, ART.131-38, ART.131-39 2°, 3°, 8°, 9° C.PENAL.
25407;Contravention de classe 5;DETENTION D'ANIMAUX SANS TENUE CONFORME DU REGISTRE D'ELEVAGE;ART.R.237-2 §II 2°, ART.L.234-1 §II, §III C.RURAL. ART.102, ART.105, ART.94 §1 REGLT.UE DU 09/03/2016.;ART.R.237-2 §II AL.1, ART.R.237-8 AL.1 C.RURAL. ART.131-16 5°, 8° C.PENAL.
25409;Contravention de classe 3;NAVIGATION A LA DERIVE SUR LES EAUX INTERIEURES;ART.R.4274-11, ART.R.4241-53, ART.A.4241-53-20 1°, ART.R.4241-4 C.TRANSPORTS.;ART.R.4274-11 C.TRANSPORTS.
25410;Contravention de classe 5;VENTE, DANS UN DEBIT DE TABAC, COMMERCE OU LIEU PUBLIC, DE PRODUIT DU TABAC A UN MINEUR;ART.R.3515-5, ART.L.3512-12 AL.1, ART.L.3512-1 C.SANTE.PUB.;ART.R.3515-5 C.SANTE.PUB.
25411;Contravention de classe 5;BLESSURES INVOLONTAIRES PAR PERSONNE MORALE AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS DANS LE CADRE DU TRAVAIL;ART.R.625-5, ART.R.625-2 AL.1, ART.121-2 C.PENAL.;ART.R.625-5, ART.131-41 C.PENAL.
