INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24
07031;Berrias-et-Casteljau;4,2076277;44,3828648;07;1;2018/01/01 00:00:00.000
09226;Pech;1,6882127;42,7628653;09;1;2018/01/01 00:00:00.000
57316;Henriville;6,8563129;49,0990505;57;1;2018/01/01 00:00:00.000
40226;Pimbo;-0,3762077;43,576878;40;1;2018/01/01 00:00:00.000
09045;Bédeilhac-et-Aynat;1,5676671;42,8798216;09;1;2018/01/01 00:00:00.000
28284;Oinville-Saint-Liphard;1,9239873;48,235205;28;1;2018/01/01 00:00:00.000
07053;Chandolas;4,2429576;44,4132297;07;1;2018/01/01 00:00:00.000
71415;Sainte-Foy;4,1322673;46,2767691;71;1;2018/01/01 00:00:00.000
54145;Crévic;6,406531;48,6396284;54;1;2018/01/01 00:00:00.000
07017;Les Assions;4,1845329;44,4250516;07;1;2018/01/01 00:00:00.000
48187;Les Salces;3,1362492;44,560944;48;1;2018/01/01 00:00:00.000
48181;Saint-Saturnin;3,1964129;44,4053153;48;1;2018/01/01 00:00:00.000
09016;Arnave;1,6462589;42,8525785;09;1;2018/01/01 00:00:00.000
57442;Many;6,5272328;49,0010421;57;1;2018/01/01 00:00:00.000
12122;Lapanouse-de-Cernon;3,0962134;44,0059717;12;1;2018/01/01 00:00:00.000
12022;La Bastide-Pradines;3,0560323;44,0103107;12;1;2018/01/01 00:00:00.000
82092;Lapenche;1,5730612;44,2241198;82;1;2018/01/01 00:00:00.000
48138;Saint-Bonnet-de-Chirac;3,27773;44,5039133;48;1;2018/01/01 00:00:00.000
48107;Palhers;3,3077271;44,5213033;48;1;2018/01/01 00:00:00.000
53208;Saint-Cyr-en-Pail;-0,2524631;48,4338286;53;1;2018/01/01 00:00:00.000
88005;Allarmont;7,020646;48,4689818;88;1;2018/01/01 00:00:00.000
54548;Vannes-le-Châtel;5,7849746;48,5710612;54;1;2018/01/01 00:00:00.000
09057;Biert;1,3089247;42,9044423;09;1;2018/01/01 00:00:00.000
12086;La Cresse;3,1571046;44,1676546;12;1;2018/01/01 00:00:00.000
12178;Paulhe;3,1116206;44,1484221;12;1;2018/01/01 00:00:00.000
31477;Saint-Élix-Séglan;0,8495135;43,196062;31;1;2018/01/01 00:00:00.000
57066;Berthelming;6,9817384;48,821357;57;1;2018/01/01 00:00:00.000
12291;Verrières;3,0510075;44,2166466;12;1;2018/01/01 00:00:00.000
54497;Saxon-Sion;6,0860387;48,4181233;54;1;2018/01/01 00:00:00.000
57166;Dalhain;6,5647425;48,8883851;57;1;2018/01/01 00:00:00.000
56135;Molac;-2,4393033;47,7360369;56;1;2018/01/01 00:00:00.000
40136;Lacajunte;-0,4190465;43,5897542;40;1;2018/01/01 00:00:00.000
88522;Vomécourt-sur-Madon;6,1706687;48,3621296;88;1;2018/01/01 00:00:00.000
57362;Kerprich-aux-Bois;6,9601547;48,7365656;57;1;2018/01/01 00:00:00.000
09326;Vèbre;1,7181045;42,7696079;09;1;2018/01/01 00:00:00.000
31536;Saux-et-Pomarède;0,7042952;43,1480787;31;1;2018/01/01 00:00:00.000
64181;Castillon (Canton d'Arthez-de-Béarn);-0,5749881;43,4656707;64;1;2018/01/01 00:00:00.000
64321;Lasclaveries;-0,2908009;43,4340584;64;1;2018/01/01 00:00:00.000
40029;Bats;-0,4643877;43,6536769;40;1;2018/01/01 00:00:00.000
57302;Hattigny;6,9610285;48,6277048;57;1;2018/01/01 00:00:00.000
37096;Dierre;0,9551164;47,3537237;37;1;2018/01/01 00:00:00.000
54165;Dommartemont;6,2150672;48,716874;54;1;2018/01/01 00:00:00.000
57289;Hambach;7,0381929;49,0541232;57;1;2018/01/01 00:00:00.000
57257;Grémecey;6,4140115;48,8104602;57;1;2018/01/01 00:00:00.000
09257;Sainte-Croix-Volvestre;1,1714889;43,1196775;09;1;2018/01/01 00:00:00.000
54104;Buissoncourt;6,3423513;48,6834;54;1;2018/01/01 00:00:00.000
57090;Blanche-Église;6,676624;48,7895249;57;1;2018/01/01 00:00:00.000
31537;Savarthès;0,8034659;43,122244;31;1;2018/01/01 00:00:00.000
54014;Ancerviller;6,8368344;48,5337233;54;1;2018/01/01 00:00:00.000
31456;Riolas;0,9184731;43,350818;31;1;2018/01/01 00:00:00.000
57036;Attilloncourt;6,3842006;48,7907319;57;1;2018/01/01 00:00:00.000
09303;Surba;1,5820781;42,860044;09;1;2018/01/01 00:00:00.000
54515;Thélod;6,0503942;48,5433545;54;1;2018/01/01 00:00:00.000
31039;Bachas;0,9408254;43,2488845;31;1;2018/01/01 00:00:00.000
55583;Woël;5,7401245;49,0387304;55;1;2018/01/01 00:00:00.000
57533;Pange;6,3551665;49,0813518;57;1;2018/01/01 00:00:00.000
09221;Ornolac-Ussat-les-Bains;1,6470395;42,822576;09;1;2018/01/01 00:00:00.000
54508;Sivry;6,2072366;48,8301068;54;1;2018/01/01 00:00:00.000
88141;Dombrot-sur-Vair;5,8900721;48,2645616;88;1;2018/01/01 00:00:00.000
11381;Sougraigne;2,3744538;42,9049193;11;1;2018/01/01 00:00:00.000
57383;Languimberg;6,877604;48,7300872;57;1;2018/01/01 00:00:00.000
57575;Retonfey;6,3160486;49,1335979;57;1;2018/01/01 00:00:00.000
09107;Dun;1,7931431;43,0251501;09;1;2018/01/01 00:00:00.000
54076;Blainville-sur-l'Eau;6,4148559;48,54986;54;1;2018/01/01 00:00:00.000
57606;Saint-Avold;6,7121806;49,1282754;57;1;2018/01/01 00:00:00.000
46297;Salviac;1,264654;44,6855637;46;1;2018/01/01 00:00:00.000
54281;Jolivet;6,5174318;48,61129;54;1;2018/01/01 00:00:00.000
46001;Albas;1,240665;44,4613088;46;1;2018/01/01 00:00:00.000
54244;Hagéville;5,8650111;49,0315813;54;1;2018/01/01 00:00:00.000
47280;Saint-Sylvestre-sur-Lot;0,8086417;44,4182694;47;1;2018/01/01 00:00:00.000
57095;Boucheporn;6,6181676;49,1497354;57;1;2018/01/01 00:00:00.000
46218;Pescadoires;1,1578971;44,499914;46;1;2018/01/01 00:00:00.000
88143;Domèvre-sur-Durbion;6,4828483;48,2903947;88;1;2018/01/01 00:00:00.000
11056;Cabrespine;2,4714457;43,3764817;11;1;2018/01/01 00:00:00.000
57007;Adaincourt;6,4437659;49,0061118;57;1;2018/01/01 00:00:00.000
54550;Vathiménil;6,6147742;48,5044528;54;1;2018/01/01 00:00:00.000
54397;Neuves-Maisons;6,108806;48,6147566;54;1;2018/01/01 00:00:00.000
19061;Cornil;1,6969936;45,2136637;19;1;2018/01/01 00:00:00.000
57654;Silly-sur-Nied;6,3673619;49,1224685;57;1;2018/01/01 00:00:00.000
54565;Vigneulles;6,3433743;48,5687142;54;1;2018/01/01 00:00:00.000
54300;Laneuveville-devant-Nancy;6,2414055;48,6461415;54;1;2018/01/01 00:00:00.000
57325;Hilsprich;6,9107032;49,005812;57;1;2018/01/01 00:00:00.000
57706;Vergaville;6,7458875;48,8409512;57;1;2018/01/01 00:00:00.000
31470;Saint-Aventin;0,5763322;42,7597881;31;1;2018/01/01 00:00:00.000
57290;Hampont;6,5854978;48,8313334;57;1;2018/01/01 00:00:00.000
17384;Saint-Pierre-de-l'Isle;-0,4445568;46,0283718;17;1;2018/01/01 00:00:00.000
54007;Aingeray;6,018418;48,7372087;54;1;2018/01/01 00:00:00.000
09222;Orus;1,5131109;42,7940294;09;1;2018/01/01 00:00:00.000
55434;Rigny-Saint-Martin;5,747493;48,6116994;55;1;2018/01/01 00:00:00.000
17101;Cherbonnières;-0,3394976;45,9678824;17;1;2018/01/01 00:00:00.000
24515;Salagnac;1,2114303;45,3150631;24;1;2018/01/01 00:00:00.000
54481;Saint-Maurice-aux-Forges;6,850483;48,5069174;54;1;2018/01/01 00:00:00.000
57374;Lafrimbolle;7,0235503;48,6031224;57;1;2018/01/01 00:00:00.000
57039;Augny;6,116039;49,0554547;57;1;2018/01/01 00:00:00.000
